user_id,login_date,login_time,ip_address,location,device_type,password 
frank@dataguard.com,5/4/2025,22:51:36,192.168.1.254,Bangalore,Mobile,123456
david@lumentech.com,5/3/2025,13:01:43,192.168.0.44,Mumbai,Laptop,987654
isabel@lumentech.com,5/5/2025,11:58:51,192.168.0.87,Mumbai,Mobile,pouytr
isabel@dataguard.com,5/5/2025,5:47:10,192.168.0.22,Karur,Desktop,qwert
frank@lumentech.com,5/4/2025,22:31:10,192.168.0.224,Bangalore,Mobile,test
isabel@lumentech.com,5/5/2025,14:14:57,192.168.0.212,Delhi,Desktop,test123
jack@dataguard.com,4/30/2025,21:05:09,192.168.0.116,Bangalore,Mobile,56789
eve@dataguard.com,5/1/2025,9:08:57,192.168.0.148,Mumbai,Mobile,7890
grace@dataguard.com,5/4/2025,10:06:48,192.168.0.217,Bangalore,Mobile,54322
grace@cybernova.com,4/30/2025,18:24:49,192.168.0.148,Bangalore,Desktop,12234
charlie@dataguard.com,4/30/2025,10:06:33,192.168.0.215,Mumbai,Desktop,
charlie@cybernova.com,5/6/2025,17:04:02,192.168.0.181,Hyderabad,Desktop,
david@lumentech.com,5/1/2025,4:38:51,192.168.0.1,Mumbai,Laptop,
jack@cybernova.com,5/6/2025,23:33:16,192.168.0.215,Mumbai,Mobile,
isabel@cybernova.com,5/3/2025,0:45:32,192.168.1.102,Delhi,Desktop,
henry@cybernova.com,5/6/2025,9:52:36,192.168.0.106,Mumbai,Mobile,
alice@dataguard.com,4/30/2025,11:35:48,192.168.1.15,Chennai,Laptop,
frank@cybernova.com,5/4/2025,21:19:14,192.168.1.168,Chennai,Laptop,
eve@lumentech.com,5/1/2025,1:08:45,192.168.0.222,Bangalore,Mobile,
eve@cybernova.com,5/2/2025,22:56:27,192.168.1.125,Delhi,Mobile,
henry@lumentech.com,5/4/2025,8:44:07,192.168.1.224,Bangalore,Desktop,
isabel@lumentech.com,5/4/2025,12:43:32,192.168.0.36,Mumbai,Mobile,
charlie@cybernova.com,5/1/2025,6:31:58,192.168.0.18,Hyderabad,Desktop,123456
eve@dataguard.com,5/5/2025,20:24:32,192.168.0.135,Bangalore,Desktop,987654
bob@cybernova.com,5/6/2025,5:41:05,192.168.1.196,Mumbai,Mobile,pouytr
alice@lumentech.com,5/5/2025,0:35:25,192.168.1.179,Mumbai,Mobile,qwert
isabel@cybernova.com,5/3/2025,6:02:05,192.168.1.210,Chennai,Mobile,
eve@dataguard.com,5/3/2025,19:22:42,192.168.1.213,Delhi,Laptop,
jack@dataguard.com,5/6/2025,14:32:03,192.168.0.158,Hyderabad,Desktop,
david@cybernova.com,5/2/2025,13:13:56,192.168.1.78,Bangalore,Desktop,
charlie@cybernova.com,5/6/2025,18:50:41,192.168.0.189,Chennai,Mobile,
isabel@lumentech.com,5/4/2025,4:46:26,192.168.1.2,Bangalore,Mobile,
henry@dataguard.com,5/3/2025,11:03:54,192.168.0.139,Hyderabad,Desktop,
david@cybernova.com,5/5/2025,15:29:20,192.168.1.68,Chennai,Mobile,
isabel@lumentech.com,5/1/2025,10:38:48,192.168.0.198,Karur,Desktop,
eve@dataguard.com,5/1/2025,13:38:29,192.168.0.65,Mumbai,Mobile,
eve@lumentech.com,5/5/2025,16:57:58,192.168.1.54,Mumbai,Mobile,
jack@dataguard.com,5/3/2025,9:15:03,192.168.0.57,Bangalore,Laptop,
eve@lumentech.com,5/2/2025,18:18:14,192.168.1.121,Chennai,Mobile,
grace@lumentech.com,5/2/2025,18:54:15,192.168.1.221,Chennai,Laptop,
bob@lumentech.com,4/30/2025,18:23:47,192.168.0.143,Bangalore,Mobile,
jack@dataguard.com,5/1/2025,9:27:59,192.168.0.98,Delhi,Mobile,
alice@cybernova.com,5/4/2025,22:37:40,192.168.0.245,Bangalore,Laptop,
eve@cybernova.com,5/4/2025,20:22:21,192.168.1.77,Bangalore,Desktop,
alice@cybernova.com,5/6/2025,22:38:59,192.168.1.184,Delhi,Desktop,
henry@cybernova.com,4/30/2025,10:47:25,192.168.0.197,Hyderabad,Mobile,
alice@cybernova.com,5/1/2025,8:08:21,192.168.0.136,Hyderabad,Mobile,
frank@lumentech.com,5/5/2025,4:35:31,192.168.0.135,Chennai,Desktop,
henry@cybernova.com,5/5/2025,18:08:14,192.168.1.245,Hyderabad,Desktop,
grace@cybernova.com,5/5/2025,3:59:00,192.168.1.207,Bangalore,Mobile,
isabel@cybernova.com,5/6/2025,18:59:51,192.168.1.77,Karur,Desktop,
charlie@cybernova.com,5/5/2025,10:37:58,192.168.1.69,Mumbai,Desktop,
frank@dataguard.com,5/6/2025,3:23:12,192.168.0.234,Mumbai,Desktop,
henry@cybernova.com,5/6/2025,4:43:32,192.168.1.71,Hyderabad,Mobile,
isabel@lumentech.com,5/2/2025,4:03:47,192.168.1.151,Hyderabad,Laptop,test
jack@lumentech.com,4/30/2025,20:38:45,192.168.1.158,Bangalore,Mobile,test123
grace@dataguard.com,5/4/2025,16:01:58,192.168.0.36,Hyderabad,Mobile,56789
alice@lumentech.com,5/2/2025,7:30:04,192.168.0.186,Chennai,Laptop,7890
charlie@lumentech.com,5/4/2025,18:58:40,192.168.0.151,Chennai,Laptop,54322
henry@dataguard.com,4/30/2025,14:03:47,192.168.1.33,Delhi,Mobile,12234
jack@dataguard.com,5/5/2025,21:27:18,192.168.0.115,Bangalore,Desktop,
frank@dataguard.com,5/5/2025,23:59:37,192.168.1.82,Mumbai,Desktop,
david@dataguard.com,5/3/2025,19:44:58,192.168.1.240,Delhi,Laptop,
jack@lumentech.com,5/6/2025,5:47:47,192.168.0.189,Hyderabad,Mobile,
bob@lumentech.com,5/6/2025,1:03:34,192.168.0.50,Hyderabad,Laptop,
grace@cybernova.com,5/2/2025,14:37:13,192.168.1.71,Hyderabad,Mobile,
frank@dataguard.com,5/6/2025,16:18:17,192.168.0.27,Chennai,Laptop,
alice@cybernova.com,5/6/2025,2:48:56,192.168.1.142,Hyderabad,Laptop,
frank@cybernova.com,5/4/2025,0:16:15,192.168.1.186,Delhi,Laptop,
charlie@cybernova.com,5/4/2025,17:19:40,192.168.1.249,Mumbai,Laptop,
charlie@lumentech.com,5/3/2025,4:33:50,192.168.1.205,Chennai,Mobile,
bob@lumentech.com,5/5/2025,10:07:26,192.168.1.147,Bangalore,Laptop,
grace@dataguard.com,5/3/2025,20:09:13,192.168.1.49,Chennai,Laptop,
henry@cybernova.com,5/2/2025,22:05:59,192.168.1.113,Delhi,Desktop,
jack@dataguard.com,5/5/2025,15:36:13,192.168.1.5,Hyderabad,Desktop,
alice@dataguard.com,5/1/2025,3:42:17,192.168.1.63,Hyderabad,Desktop,
charlie@dataguard.com,5/1/2025,21:16:10,192.168.1.222,Chennai,Laptop,
david@cybernova.com,5/4/2025,2:30:41,192.168.0.141,Chennai,Desktop,
henry@lumentech.com,5/4/2025,7:05:57,192.168.1.157,Karur,Desktop,
henry@cybernova.com,5/5/2025,19:39:57,192.168.0.102,Mumbai,Desktop,
isabel@cybernova.com,5/5/2025,18:19:06,192.168.0.90,Bangalore,Laptop,
frank@lumentech.com,5/2/2025,1:50:43,192.168.0.254,Hyderabad,Laptop,
grace@dataguard.com,4/30/2025,15:01:37,192.168.1.230,Chennai,Laptop,
henry@dataguard.com,5/5/2025,0:07:12,192.168.0.245,Chennai,Laptop,
isabel@cybernova.com,5/5/2025,13:40:56,192.168.0.4,Delhi,Desktop,
isabel@cybernova.com,5/5/2025,22:43:07,192.168.0.220,Delhi,Laptop,
charlie@lumentech.com,5/4/2025,10:36:23,192.168.0.17,Hyderabad,Laptop,
isabel@lumentech.com,5/3/2025,5:56:23,192.168.0.80,Bangalore,Laptop,
grace@dataguard.com,5/5/2025,16:07:24,192.168.1.15,Chennai,Mobile,
charlie@lumentech.com,5/4/2025,23:31:16,192.168.0.17,Chennai,Desktop,
alice@lumentech.com,5/5/2025,1:48:26,192.168.1.155,Chennai,Mobile,
frank@cybernova.com,5/5/2025,12:56:43,192.168.0.80,Delhi,Laptop,
jack@dataguard.com,5/3/2025,2:09:57,192.168.1.155,Hyderabad,Mobile,
grace@cybernova.com,4/30/2025,21:25:18,192.168.0.16,Mumbai,Laptop,
grace@dataguard.com,5/1/2025,14:18:16,192.168.1.69,Delhi,Desktop,
alice@dataguard.com,4/30/2025,9:50:51,192.168.1.118,Mumbai,Laptop,
david@lumentech.com,5/2/2025,20:11:27,192.168.0.107,Delhi,Desktop,
isabel@lumentech.com,5/3/2025,12:46:29,192.168.0.98,Delhi,Desktop,
david@cybernova.com,5/4/2025,20:20:58,192.168.1.194,Hyderabad,Desktop,
charlie@dataguard.com,5/6/2025,19:50:06,192.168.1.32,Karur,Mobile,
