user_id,login_date,login_time,ip_address,location,device_type,login_hour,is_mobile_device,domain,location_encoded,domain_encoded
frank@dataguard.com,5/4/2025,22:51:36,192.168.1.254,Bangalore,Mobile,22,1,dataguard.com,0,1
david@lumentech.com,5/3/2025,13:01:43,192.168.0.44,Mumbai,Laptop,13,0,lumentech.com,5,2
isabel@lumentech.com,5/5/2025,11:58:51,192.168.0.87,Mumbai,Mobile,11,1,lumentech.com,5,2
isabel@dataguard.com,5/5/2025,5:47:10,192.168.0.22,Karur,Desktop,5,0,dataguard.com,4,1
frank@lumentech.com,5/4/2025,22:31:10,192.168.0.224,Bangalore,Mobile,22,1,lumentech.com,0,2
isabel@lumentech.com,5/5/2025,14:14:57,192.168.0.212,Delhi,Desktop,14,0,lumentech.com,2,2
jack@dataguard.com,4/30/2025,21:05:09,192.168.0.116,Bangalore,Mobile,21,1,dataguard.com,0,1
eve@dataguard.com,5/1/2025,9:08:57,192.168.0.148,Mumbai,Mobile,9,1,dataguard.com,5,1
grace@dataguard.com,5/4/2025,10:06:48,192.168.0.217,Bangalore,Mobile,10,1,dataguard.com,0,1
grace@cybernova.com,4/30/2025,18:24:49,192.168.0.148,Bangalore,Desktop,18,0,cybernova.com,0,0
charlie@dataguard.com,4/30/2025,10:06:33,192.168.0.215,Mumbai,Desktop,10,0,dataguard.com,5,1
charlie@cybernova.com,5/6/2025,17:04:02,192.168.0.181,Hyderabad,Desktop,17,0,cybernova.com,3,0
david@lumentech.com,5/1/2025,4:38:51,192.168.0.1,Mumbai,Laptop,4,0,lumentech.com,5,2
jack@cybernova.com,5/6/2025,23:33:16,192.168.0.215,Mumbai,Mobile,23,1,cybernova.com,5,0
isabel@cybernova.com,5/3/2025,0:45:32,192.168.1.102,Delhi,Desktop,0,0,cybernova.com,2,0
henry@cybernova.com,5/6/2025,9:52:36,192.168.0.106,Mumbai,Mobile,9,1,cybernova.com,5,0
alice@dataguard.com,4/30/2025,11:35:48,192.168.1.15,Chennai,Laptop,11,0,dataguard.com,1,1
frank@cybernova.com,5/4/2025,21:19:14,192.168.1.168,Chennai,Laptop,21,0,cybernova.com,1,0
eve@lumentech.com,5/1/2025,1:08:45,192.168.0.222,Bangalore,Mobile,1,1,lumentech.com,0,2
eve@cybernova.com,5/2/2025,22:56:27,192.168.1.125,Delhi,Mobile,22,1,cybernova.com,2,0
henry@lumentech.com,5/4/2025,8:44:07,192.168.1.224,Bangalore,Desktop,8,0,lumentech.com,0,2
isabel@lumentech.com,5/4/2025,12:43:32,192.168.0.36,Mumbai,Mobile,12,1,lumentech.com,5,2
charlie@cybernova.com,5/1/2025,6:31:58,192.168.0.18,Hyderabad,Desktop,6,0,cybernova.com,3,0
eve@dataguard.com,5/5/2025,20:24:32,192.168.0.135,Bangalore,Desktop,20,0,dataguard.com,0,1
bob@cybernova.com,5/6/2025,5:41:05,192.168.1.196,Mumbai,Mobile,5,1,cybernova.com,5,0
alice@lumentech.com,5/5/2025,0:35:25,192.168.1.179,Mumbai,Mobile,0,1,lumentech.com,5,2
isabel@cybernova.com,5/3/2025,6:02:05,192.168.1.210,Chennai,Mobile,6,1,cybernova.com,1,0
eve@dataguard.com,5/3/2025,19:22:42,192.168.1.213,Delhi,Laptop,19,0,dataguard.com,2,1
jack@dataguard.com,5/6/2025,14:32:03,192.168.0.158,Hyderabad,Desktop,14,0,dataguard.com,3,1
david@cybernova.com,5/2/2025,13:13:56,192.168.1.78,Bangalore,Desktop,13,0,cybernova.com,0,0
charlie@cybernova.com,5/6/2025,18:50:41,192.168.0.189,Chennai,Mobile,18,1,cybernova.com,1,0
isabel@lumentech.com,5/4/2025,4:46:26,192.168.1.2,Bangalore,Mobile,4,1,lumentech.com,0,2
henry@dataguard.com,5/3/2025,11:03:54,192.168.0.139,Hyderabad,Desktop,11,0,dataguard.com,3,1
david@cybernova.com,5/5/2025,15:29:20,192.168.1.68,Chennai,Mobile,15,1,cybernova.com,1,0
isabel@lumentech.com,5/1/2025,10:38:48,192.168.0.198,Karur,Desktop,10,0,lumentech.com,4,2
eve@dataguard.com,5/1/2025,13:38:29,192.168.0.65,Mumbai,Mobile,13,1,dataguard.com,5,1
eve@lumentech.com,5/5/2025,16:57:58,192.168.1.54,Mumbai,Mobile,16,1,lumentech.com,5,2
jack@dataguard.com,5/3/2025,9:15:03,192.168.0.57,Bangalore,Laptop,9,0,dataguard.com,0,1
eve@lumentech.com,5/2/2025,18:18:14,192.168.1.121,Chennai,Mobile,18,1,lumentech.com,1,2
grace@lumentech.com,5/2/2025,18:54:15,192.168.1.221,Chennai,Laptop,18,0,lumentech.com,1,2
bob@lumentech.com,4/30/2025,18:23:47,192.168.0.143,Bangalore,Mobile,18,1,lumentech.com,0,2
jack@dataguard.com,5/1/2025,9:27:59,192.168.0.98,Delhi,Mobile,9,1,dataguard.com,2,1
alice@cybernova.com,5/4/2025,22:37:40,192.168.0.245,Bangalore,Laptop,22,0,cybernova.com,0,0
eve@cybernova.com,5/4/2025,20:22:21,192.168.1.77,Bangalore,Desktop,20,0,cybernova.com,0,0
alice@cybernova.com,5/6/2025,22:38:59,192.168.1.184,Delhi,Desktop,22,0,cybernova.com,2,0
henry@cybernova.com,4/30/2025,10:47:25,192.168.0.197,Hyderabad,Mobile,10,1,cybernova.com,3,0
alice@cybernova.com,5/1/2025,8:08:21,192.168.0.136,Hyderabad,Mobile,8,1,cybernova.com,3,0
frank@lumentech.com,5/5/2025,4:35:31,192.168.0.135,Chennai,Desktop,4,0,lumentech.com,1,2
henry@cybernova.com,5/5/2025,18:08:14,192.168.1.245,Hyderabad,Desktop,18,0,cybernova.com,3,0
grace@cybernova.com,5/5/2025,3:59:00,192.168.1.207,Bangalore,Mobile,3,1,cybernova.com,0,0
isabel@cybernova.com,5/6/2025,18:59:51,192.168.1.77,Karur,Desktop,18,0,cybernova.com,4,0
charlie@cybernova.com,5/5/2025,10:37:58,192.168.1.69,Mumbai,Desktop,10,0,cybernova.com,5,0
frank@dataguard.com,5/6/2025,3:23:12,192.168.0.234,Mumbai,Desktop,3,0,dataguard.com,5,1
henry@cybernova.com,5/6/2025,4:43:32,192.168.1.71,Hyderabad,Mobile,4,1,cybernova.com,3,0
isabel@lumentech.com,5/2/2025,4:03:47,192.168.1.151,Hyderabad,Laptop,4,0,lumentech.com,3,2
jack@lumentech.com,4/30/2025,20:38:45,192.168.1.158,Bangalore,Mobile,20,1,lumentech.com,0,2
grace@dataguard.com,5/4/2025,16:01:58,192.168.0.36,Hyderabad,Mobile,16,1,dataguard.com,3,1
alice@lumentech.com,5/2/2025,7:30:04,192.168.0.186,Chennai,Laptop,7,0,lumentech.com,1,2
charlie@lumentech.com,5/4/2025,18:58:40,192.168.0.151,Chennai,Laptop,18,0,lumentech.com,1,2
henry@dataguard.com,4/30/2025,14:03:47,192.168.1.33,Delhi,Mobile,14,1,dataguard.com,2,1
jack@dataguard.com,5/5/2025,21:27:18,192.168.0.115,Bangalore,Desktop,21,0,dataguard.com,0,1
frank@dataguard.com,5/5/2025,23:59:37,192.168.1.82,Mumbai,Desktop,23,0,dataguard.com,5,1
david@dataguard.com,5/3/2025,19:44:58,192.168.1.240,Delhi,Laptop,19,0,dataguard.com,2,1
jack@lumentech.com,5/6/2025,5:47:47,192.168.0.189,Hyderabad,Mobile,5,1,lumentech.com,3,2
bob@lumentech.com,5/6/2025,1:03:34,192.168.0.50,Hyderabad,Laptop,1,0,lumentech.com,3,2
grace@cybernova.com,5/2/2025,14:37:13,192.168.1.71,Hyderabad,Mobile,14,1,cybernova.com,3,0
frank@dataguard.com,5/6/2025,16:18:17,192.168.0.27,Chennai,Laptop,16,0,dataguard.com,1,1
alice@cybernova.com,5/6/2025,2:48:56,192.168.1.142,Hyderabad,Laptop,2,0,cybernova.com,3,0
frank@cybernova.com,5/4/2025,0:16:15,192.168.1.186,Delhi,Laptop,0,0,cybernova.com,2,0
charlie@cybernova.com,5/4/2025,17:19:40,192.168.1.249,Mumbai,Laptop,17,0,cybernova.com,5,0
charlie@lumentech.com,5/3/2025,4:33:50,192.168.1.205,Chennai,Mobile,4,1,lumentech.com,1,2
bob@lumentech.com,5/5/2025,10:07:26,192.168.1.147,Bangalore,Laptop,10,0,lumentech.com,0,2
grace@dataguard.com,5/3/2025,20:09:13,192.168.1.49,Chennai,Laptop,20,0,dataguard.com,1,1
henry@cybernova.com,5/2/2025,22:05:59,192.168.1.113,Delhi,Desktop,22,0,cybernova.com,2,0
jack@dataguard.com,5/5/2025,15:36:13,192.168.1.5,Hyderabad,Desktop,15,0,dataguard.com,3,1
alice@dataguard.com,5/1/2025,3:42:17,192.168.1.63,Hyderabad,Desktop,3,0,dataguard.com,3,1
charlie@dataguard.com,5/1/2025,21:16:10,192.168.1.222,Chennai,Laptop,21,0,dataguard.com,1,1
david@cybernova.com,5/4/2025,2:30:41,192.168.0.141,Chennai,Desktop,2,0,cybernova.com,1,0
henry@lumentech.com,5/4/2025,7:05:57,192.168.1.157,Karur,Desktop,7,0,lumentech.com,4,2
henry@cybernova.com,5/5/2025,19:39:57,192.168.0.102,Mumbai,Desktop,19,0,cybernova.com,5,0
isabel@cybernova.com,5/5/2025,18:19:06,192.168.0.90,Bangalore,Laptop,18,0,cybernova.com,0,0
frank@lumentech.com,5/2/2025,1:50:43,192.168.0.254,Hyderabad,Laptop,1,0,lumentech.com,3,2
grace@dataguard.com,4/30/2025,15:01:37,192.168.1.230,Chennai,Laptop,15,0,dataguard.com,1,1
henry@dataguard.com,5/5/2025,0:07:12,192.168.0.245,Chennai,Laptop,0,0,dataguard.com,1,1
isabel@cybernova.com,5/5/2025,13:40:56,192.168.0.4,Delhi,Desktop,13,0,cybernova.com,2,0
isabel@cybernova.com,5/5/2025,22:43:07,192.168.0.220,Delhi,Laptop,22,0,cybernova.com,2,0
charlie@lumentech.com,5/4/2025,10:36:23,192.168.0.17,Hyderabad,Laptop,10,0,lumentech.com,3,2
isabel@lumentech.com,5/3/2025,5:56:23,192.168.0.80,Bangalore,Laptop,5,0,lumentech.com,0,2
grace@dataguard.com,5/5/2025,16:07:24,192.168.1.15,Chennai,Mobile,16,1,dataguard.com,1,1
charlie@lumentech.com,5/4/2025,23:31:16,192.168.0.17,Chennai,Desktop,23,0,lumentech.com,1,2
alice@lumentech.com,5/5/2025,1:48:26,192.168.1.155,Chennai,Mobile,1,1,lumentech.com,1,2
frank@cybernova.com,5/5/2025,12:56:43,192.168.0.80,Delhi,Laptop,12,0,cybernova.com,2,0
jack@dataguard.com,5/3/2025,2:09:57,192.168.1.155,Hyderabad,Mobile,2,1,dataguard.com,3,1
grace@cybernova.com,4/30/2025,21:25:18,192.168.0.16,Mumbai,Laptop,21,0,cybernova.com,5,0
grace@dataguard.com,5/1/2025,14:18:16,192.168.1.69,Delhi,Desktop,14,0,dataguard.com,2,1
alice@dataguard.com,4/30/2025,9:50:51,192.168.1.118,Mumbai,Laptop,9,0,dataguard.com,5,1
david@lumentech.com,5/2/2025,20:11:27,192.168.0.107,Delhi,Desktop,20,0,lumentech.com,2,2
isabel@lumentech.com,5/3/2025,12:46:29,192.168.0.98,Delhi,Desktop,12,0,lumentech.com,2,2
david@cybernova.com,5/4/2025,20:20:58,192.168.1.194,Hyderabad,Desktop,20,0,cybernova.com,3,0
charlie@dataguard.com,5/6/2025,19:50:06,192.168.1.32,Karur,Mobile,19,1,dataguard.com,4,1
